,T1,T2,direction,effect size,prevalence_T1,prevalence_T2,pval_naive,pval_bh,pval_by,pval_bonf
679,PsyrTA,Mokosh_Type_I_A,-1,0.17263811620724673,0.3939973271957829,0.052193926794862275,0.352584149343487,0.5,1.0,1.0
120,Kiwa,Septu,1,0.17098657161248385,0.06940010394238622,0.16716163041057241,0.30755481685342045,0.5,1.0,1.0
645,AbiE,DS-28,1,0.1697172682084097,0.18371816764422005,0.09334397505382731,0.3621299386133566,0.5,1.0,1.0
141,Kiwa,DS-28,-1,0.1682693623927,0.06940010394238622,0.09334397505382731,0.31016569052663107,0.5,1.0,1.0
539,BREX_I,PsyrTA,-1,0.16767557439719785,0.08146484520008909,0.3939973271957829,0.3604480856396669,0.5,1.0,1.0
349,RosmerTA,CAS_Class1-Subtype-I-E,-1,0.16719401901062658,0.10141807112629,0.5630521939267948,0.34216645821265274,0.5,1.0,1.0
335,RosmerTA,Mokosh_TypeII,-1,0.16670345577159673,0.10141807112629,0.19156953003192517,0.3093494257026342,0.5,1.0,1.0
33,RM_Type_II,DS-28,-1,0.16602370045660728,0.48999554532630485,0.09334397505382731,0.2712837263249109,0.5,1.0,1.0
597,Gao_Tmn,SDIC3,1,0.16455236715615706,0.10472195411686094,0.19253470933254138,0.27715621331421664,0.5,1.0,1.0
2,RM_Type_II,Kiwa,1,0.16404100164217866,0.48999554532630485,0.06940010394238622,0.2553140580978881,0.5,1.0,1.0
713,SDIC3,Mokosh_Type_I_A,-1,0.16386849735827247,0.19253470933254138,0.052193926794862275,0.2894768761627147,0.5,1.0,1.0
252,Druantia_III,Shango,1,0.16373221282315367,0.1011953374415324,0.07097780087608582,0.3505907500954981,0.5,1.0,1.0
420,Septu,BREX_I,-1,0.16358208697729867,0.16716163041057241,0.08146484520008909,0.3211580800386772,0.5,1.0,1.0
258,Druantia_III,Gao_Tmn,-1,0.16098635300124936,0.1011953374415324,0.10472195411686094,0.3241477756037633,0.5,1.0,1.0
216,Zorya_TypeII,RosmerTA,-1,0.16090192176566326,0.05993392234018858,0.10141807112629,0.3528553724371566,0.5,1.0,1.0
